Carrier,Manufacture,Model,Release_Date,Bulletin_Level,difference,Android_Level_Guessed,build,Year_Phone_Release,Month_Phone_Release,checker
Verizon,LG,G Vista,2017-05-02,2017-05-01,1,False,,2014,8,01
Verizon,LG,G2,2015-11-02,2015-11-01,1,True,,2013,9,01
Verizon,LG,G3,2017-02-28,2017-02-01,27,True,,2014,5,05
Verizon,LG,G3,2017-04-11,2017-04-01,10,False,,2014,5,03
Verizon,LG,G4,2017-06-06,2017-06-01,5,True,,2015,4,05
Verizon,LG,G5,2018-03-20,2018-03-01,19,False,,2016,4,01
Verizon,LG,G5,2018-09-21,2018-08-01,51,False,,2016,4,01
Verizon,LG,G5,2018-10-25,2018-10-01,24,, VS98730b VS98730b,2016,4,01
Verizon,LG,G6,2018-11-30,2018-11-01,29,False,,2017,3,01
Verizon,LG,G6,2019-01-15,2018-12-01,45,False,,2017,3,01
Verizon,LG,G6,2019-02-18,2019-02-01,17,False,,2017,3,01
Verizon,LG,G6,2019-07-24,2019-05-01,84,False,,2017,3,01
Verizon,LG,G6,2019-09-24,2019-08-01,54,False,,2017,3,01
Verizon,LG,G8 ThinQ,2019-04-24,2019-04-01,23,False,,2019,4,01
Verizon,LG,G8 ThinQ,2019-07-26,2019-06-01,55,False,,2019,4,01
Verizon,LG,G8 ThinQ,2019-10-04,2019-09-01,33,False,,2019,4,01
Verizon,LG,G8 ThinQ,2019-11-22,2019-10-01,52,False,,2019,4,01
Verizon,LG,K20 V,2018-12-20,2018-12-01,19,False,,2017,3,01
Verizon,LG,K20 V,2019-02-14,2019-01-01,44,False,,2017,3,01
Verizon,LG,K20 V,2019-03-20,2019-03-01,19,False,,2017,3,01
Verizon,LG,K4,2018-02-19,2018-02-01,18,False,,2016,2,01
Verizon,LG,K4,2018-04-23,2018-04-01,22,False,,2016,2,01
Verizon,LG,K8 V,2018-03-21,2018-03-01,20,False,,2016,6,01
Verizon,LG,K8 V,2018-05-07,2018-04-01,36,False,,2016,6,01
Verizon,LG,K8 V,2018-05-07,2018-05-01,6,, VS50020i VS50020i,2016,6,01
Verizon,LG,LG G7 ThinQ,2019-01-24,2018-12-01,54,False,,2018,5,01
Verizon,LG,LG G7 ThinQ,2019-03-04,2019-02-01,31,False,,2018,5,01
Verizon,LG,LG G7 ThinQ,2019-04-12,2019-03-01,42,False,,2018,5,01
Verizon,LG,LG G7 ThinQ,2019-06-04,2019-04-01,64,, G710VM20a G710VM20a,2018,5,01
Verizon,LG,LG G7 ThinQ,2019-06-21,2019-05-01,51,False,,2018,5,01
Verizon,LG,LG G7 ThinQ,2019-09-06,2019-08-01,36,False,,2018,5,01
Verizon,LG,LG G7 ThinQ,2019-11-01,2019-10-01,31,False,,2018,5,01
Verizon,LG,LG Stylo 2 V,2018-07-20,2018-07-01,19,False,,2016,4,01
Verizon,LG,LG Stylo 2 V,2018-09-20,2018-09-01,19,False,,2016,4,01
Verizon,LG,LG Stylo 2 V,2019-11-20,2019-10-01,50,False,,2016,4,01
Verizon,LG,LG Stylo 5,2019-10-03,2019-09-01,32,False,,2019,6,01
Verizon,LG,LG Stylo 5,2019-12-02,2019-10-01,62,False,,2019,6,01
Verizon,LG,Lucid3,2015-10-08,2015-10-01,7,True,,2014,4,01
Verizon,LG,Optimus Zone 3,2017-10-10,2017-09-01,39,False,,2016,1,01
Verizon,LG,Optimus Zone 3,2017-10-10,2017-10-01,9,, VS425PP9 VS425PP9,2016,1,01
Verizon,LG,V10,2017-08-30,2017-08-01,29,False,,2015,10,01
Verizon,LG,V10,2018-01-16,2017-12-01,46,False,,2015,10,01
Verizon,LG,V20,2018-09-17,2018-08-01,47,False,,2016,10,01
Verizon,LG,V20,2018-10-18,2018-10-01,17,False,,2016,10,01
Verizon,LG,V20,2018-11-14,2018-11-01,13,, VS99520c VS99520c,2016,10,01
Verizon,LG,V30,2019-01-18,2019-01-01,17,False,,2017,9,01
Verizon,LG,V30,2019-02-18,2019-02-01,17,False,,2017,9,01
Verizon,LG,V30,2019-03-21,2019-03-01,20,False,,2017,9,01
Verizon,LG,V30,2019-05-31,2019-05-01,30,False,,2017,9,01
Verizon,LG,V30,2019-07-05,2019-06-01,34,False,,2017,9,01
Verizon,LG,V30,2019-09-13,2019-08-01,43,False,,2017,9,01
Verizon,LG,V40 ThinQ,2018-11-14,2018-10-01,44,False,,2018,10,01
Verizon,LG,V40 ThinQ,2019-01-30,2018-12-01,60,False,,2018,10,01
Verizon,LG,V40 ThinQ,2019-03-04,2019-02-01,31,False,,2018,10,01
Verizon,LG,V40 ThinQ,2019-05-24,2019-04-01,53,, V405UA20a V405UA20a,2018,10,01
