Manufacture,Device Model,Released Date,Released OS,Current Supported OS,Reference Source,Android One
Asus,Zenfone Max (M2) ZB633KL,2018/12,Android 8.1 (Oreo),Android 9.0 (Pie),https://www.gsmarena.com/asus_zenfone_max_(m2)_zb633kl-9437.php,0
Asus,Zenfone Max (M1) ZB556KL,2018/10,Android 8 (Oreo),Android 8 (Oreo),https://www.gsmarena.com/asus_zenfone_max_(m1)_zb556kl-9373.php,0
Asus,ZenFone Lite (L1) ZA551KL,2018/10,Android 8 (Oreo),Android 8 (Oreo),https://www.gsmarena.com/asus_zenfone_lite_(l1)_za551kl-9372.php,0
Lenovo,K6 Enjoy,2019/04,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/lenovo_k6_enjoy-9655.php,0
Lenovo,Tab V7,2019/04,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/lenovo_tab_v7-9609.php,0
Lenovo,S5 Pro GT,2018/12,Android 8.1 (Oreo),Android 8.1 (Oreo),https://www.gsmarena.com/lenovo_s5_pro_gt-9490.php,0
Lenovo,Z5s,2018/12,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/lenovo_z5s-9436.php,0
Lenovo,Z5 Pro GT,2019/01,Android 8.1 (Oreo),Android 8.1 (Oreo),https://www.gsmarena.com/lenovo_z5_pro_gt-9489.php,0
Lenovo,Z5 Pro,2018/11,Android 8.1 (Oreo),Android 8.1 (Oreo),https://www.gsmarena.com/lenovo_z5_pro-9349.php,0
Lenovo,K5 Pro,2018/10,Android 8.1 (Oreo),Android 8.1 (Oreo),https://www.gsmarena.com/lenovo_k5_pro-9374.php,0
Motorola,Moto G7 Plus,2019/03,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/motorola_moto_g7_plus-9533.php,0
Motorola,Moto G7,2019/03,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/motorola_moto_g7-9357.php,0
Motorola,Moto G7 Power,2019/02,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/motorola_moto_g7_power-9527.php,0
Motorola,Moto G7 Play,2019/03,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/motorola_moto_g7_play-9532.php,0
