Manufacture,Device Model,Released Date,Released OS,Current Supported OS,Reference Source,Android One
Huawei/Google,Nexus 6P,2015/09,Android 6.0 (Marshmallow),Android 8.0 (Oreo),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-48,0
Huawei,Huawei P10,2017/02,Android 7.0 (Nougat),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-50,0
Huawei,Huawei P20,2018/03,Android 8.1 (Oreo),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-6,0
HTC/Google,Nexus One,2010/01,Android 2.1 (Eclair),Android 2.3.6 (Gingerbread),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-41,0
HTC,HTC Dream,2008/09,Android 1.6 (Donut),Android 1.6 (Donut),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-2,0
HTC,HTC Magic,2009/05,Android 1.6 (Donut),Android 1.6 (Donut),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-3,0
HTC,HTC Hero,2009/07,Android 1.5 (Cupcake),Android 1.5 (Cupcake),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-4,0
HMD Global,Nokia 1,2018/04,Android 8.0 (Oreo),Android 8.1 (Oreo),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-51,0
HMD Global,Nokia 1 Plus,2019/03,Android 9.0 (Pie),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-52,0
HMD Global,Nokia 2,2017/11,Android 7.0 (Nougat),Android 8.1 (Oreo),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-53,0
HMD Global,Nokia 2.1,2018/08,Android 8.0 (Oreo),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-54,0
HMD Global,Nokia 3,2017/06,Android 7.0 (Nougat),Android 8.1 (Oreo),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-55,0
HMD Global,Nokia 3.1,2018/05,Android 8.0 (Oreo),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-56,1
HMD Global,Nokia 3.1 Plus,2018/10,Android 8.0 (Oreo),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-57,0
HMD Global,Nokia 3.2,2019/05,Android 9.0 (Pie),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-58,1
HMD Global,Nokia 4.2,2019/04,Android 9.0 (Pie),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-59,1
HMD Global,Nokia 5,2017/07,Android 7.0 (Nougat),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-60,0
HMD Global,Nokia 5.1,2018/08,Android 8.0 (Oreo),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-61,1
HMD Global,Nokia 5.1 Plus,2018/07,Android 8.0 (Oreo),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-62,0
HMD Global,Nokia 6,2017/01,Android 7.0 (Nougat),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-63,0
HMD Global,Nokia 6.1,2018/04,Android 8.0 (Oreo),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-64,0
HMD Global,Nokia 6.1 Plus,2018/08,Android 8.0 (Oreo),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-65,0
HMD Global,Nokia 7,2017/10,Android 7.0 (Nougat),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-66,0
HMD Global,Nokia 7 Plus,2018/03,Android 8.0 (Oreo),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-67,0
HMD Global,Nokia 7.1,2018/10,Android 8.0 (Oreo),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-68,1
HMD Global,Nokia 8,2017/10,Android 7.0 (Nougat),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-69,0
HMD Global,Nokia 8 Sirocco,2018/04,Android 8.0 (Oreo),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-70,0
HMD Global,Nokia 8.1,2018/12,Android 9.0 (Pie),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-71,1
HMD Global,Nokia 9 PureView,2019/02,Android 9.0 (Pie),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-72,0
Essential Products,Essential PH-1,2017/08,Android 7.0 (Nougat),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-1,0
HMD Global,Nokia 9 PureView,2019/02,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/nokia_9_pureview-8867.php,1
Motorola,Moto One,2018/10,Android 8.1 (Oreo),Android 9.0 (Pie),https://www.gsmarena.com/motorola_one_(p30_play)-9310.php,1
Motorola,One Power,2018/10,Android 8.1 (Oreo),Android 9.0 (Pie),https://www.gsmarena.com/motorola_one_power_(p30_note)-9221.php,1
General Mobile,GM9 Pro,2019/01,Android 8.1 (Oreo),Android 8.1 (Oreo),https://www.gizmochina.com/product/general-mobile-gm-9-pro/,1
Xiaomi,Mi A2,2018/07,Android 8.1 (Oreo),Android 9.0 (Pie),https://www.gsmarena.com/xiaomi_mi_a2_(mi_6x)-9140.php,1
Xiaomi,Mi A2 Lite,2018/07,Android 8.1 (Oreo),Android 9.0 (Pie),https://www.gsmarena.com/xiaomi_mi_a2_lite_(redmi_6_pro)-9247.php,1
Infinix,Note 5,2018/08,Android 8.1 (Oreo),Android 8.1 (Oreo),https://www.gsmarena.com/infinix_note_5-9417.php,1
BQ,Aquaris X2,2018/06,Android 8.1 (Oreo),Android 8.1 (Oreo),https://www.gsmarena.com/bq_aquaris_x2-9198.php,1
BQ,Aquaris X2 Pro,2018/05,Android 8.1 (Oreo),Android 8.1 (Oreo),https://www.gsmarena.com/bq_aquaris_x2_pro-9197.php,1
Nokia,8 Sirocco,2018/04,Android 8.0 (Oreo),Android 9.0 (Pie),https://www.gsmarena.com/nokia_8_sirocco-9087.php,1
Nokia,7 plus,2018/03,Android 8.1 (Oreo),Android 9.0 (Pie),https://www.gsmarena.com/nokia_7_plus-9058.php,1
Samsung,Galaxy Note10,2019/08,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/samsung_galaxy_note10-9788.php,0
Samsung,Galaxy Note10+,2019/08,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/samsung_galaxy_note10+-9732.php,0
